cluster,gene,score,logfc,pval_adj
7,FBgn0259745,58.958775,,0.0
8,FBgn0034761,79.85891,,0.0
8,FBgn0260768,79.60307,,0.0
8,FBgn0022893,39.334457,,0.0
8,FBti0060275,38.539604,,0.0
8,FBgn0004362,35.522648,,7.529483345940179e-274
8,FBgn0265413,34.325615,,9.296263354977246e-256
8,FBgn0263706,33.947556,,3.243500270244938e-250
8,FBgn0031453,33.242447,,5.619923317096976e-240
8,FBgn0031381,28.51406,,8.396157849420022e-177
8,FBgn0286786,27.808832,,3.0582392981393727e-168
8,FBgn0036844,27.508991,,1.1738909583425707e-164
8,FBti0059763,27.320637,,1.9678112248789875e-162
8,FBgn0016797,27.112394,,5.2383960083796845e-160
8,FBgn0032006,25.224298,,1.1257428876892165e-138
8,FBgn0010228,24.03614,,5.254249588669547e-126
8,FBgn0004583,23.93249,,6.176723276860427e-125
8,FBti0059744,23.822844,,8.293924900971373e-124
8,FBti0020227,23.580076,,2.458647404151642e-121
8,FBgn0037913,22.643385,,5.785181640514665e-112
8,FBgn0000071,21.996674,,1.061673371002844e-105
9,FBti0061827,75.808235,,0.0
9,FBti0019213,73.380066,,0.0
9,FBti0019599,71.7429,,0.0
9,FBti0063007,69.89313,,0.0
9,FBgn0036381,69.61964,,0.0
9,FBgn0013687,68.495155,,0.0
9,FBgn0284408,66.93611,,0.0
9,FBgn0040398,65.4149,,0.0
9,FBgn0035688,63.23635,,0.0
9,FBti0019045,62.83791,,0.0
9,FBgn0027108,62.53899,,0.0
9,FBti0019150,61.498535,,0.0
9,FBgn0267507,60.5811,,0.0
9,FBgn0013683,56.716,,0.0
9,FBgn0039774,56.33327,,0.0
9,FBgn0000179,55.75512,,0.0
9,FBgn0261016,53.685677,,0.0
9,FBgn0032136,52.660538,,0.0
9,FBgn0261549,47.833977,,0.0
9,FBgn0264975,45.62553,,0.0
10,FBgn0000395,69.71203,,0.0
10,FBgn0040837,53.77269,,0.0
10,FBgn0037973,48.790478,,0.0
10,FBgn0039644,47.29867,,0.0
10,FBgn0038455,47.287846,,0.0
10,FBgn0029766,44.554478,,0.0
10,FBgn0265612,44.03189,,0.0
10,FBgn0024491,42.86855,,0.0
10,FBgn0063494,42.052845,,0.0
10,FBgn0027836,41.037067,,0.0
10,FBgn0037975,38.332134,,0.0
10,FBti0019234,38.196724,,0.0
10,FBgn0033153,37.950237,,0.0
10,FBgn0033204,37.780457,,0.0
10,FBgn0033926,36.675518,,1.707432039581399e-292
10,FBgn0261113,35.974754,,1.8723203611409318e-281
10,FBgn0029507,35.753647,,4.9730609845014156e-278
10,FBgn0041184,34.937397,,1.5668116620930218e-265
10,FBgn0264490,32.153954,,5.550531310963442e-225
10,FBgn0286042,32.14192,,7.84947850732339e-225
11,FBgn0004583,35.221386,,1.6121271388163275e-268
11,FBgn0019660,32.83358,,1.6737798551014127e-233
11,FBti0059763,32.695847,,1.0215823860632897e-231
11,FBgn0016797,31.24437,,1.140217348062703e-211
11,FBgn0286827,27.433405,,3.755483601714653e-163
11,FBgn0004167,26.685013,,2.00587220875489e-154
11,FBti0060275,26.222504,,3.6023096951998214e-149
11,FBgn0035049,26.159449,,1.6475798239026945e-148
11,FBgn0263706,25.866905,,2.989052911993336e-145
11,FBgn0036844,24.13949,,1.6492011899030037e-126
11,FBgn0259110,23.041079,,2.5799649432754487e-115
11,FBgn0010313,21.37416,,2.6547430353520012e-99
11,FBgn0005660,20.51884,,1.3909171606641288e-91
11,FBgn0034408,19.915434,,2.4393889168791893e-86
11,FBgn0261934,19.762424,,4.8834513675474394e-85
11,FBti0062048,19.683853,,2.2088338167523486e-84
11,FBgn0013688,19.66381,,3.1432073963144923e-84
11,FBgn0085753,19.446838,,2.0421843901086187e-82
11,FBgn0032006,19.23684,,1.074870929394198e-80
11,FBgn0265487,18.853354,,1.523965779664003e-77
12,FBgn0022984,65.75999,,0.0
12,FBgn0267507,63.842354,,0.0
12,FBgn0001225,63.638844,,0.0
12,FBti0019150,62.018284,,0.0
12,FBgn0004242,61.402046,,0.0
12,FBti0019599,60.461685,,0.0
12,FBgn0267515,59.60499,,0.0
12,FBgn0267505,59.535545,,0.0
12,FBgn0259745,58.218937,,0.0
12,FBgn0284408,57.086796,,0.0
12,FBti0063007,54.676685,,0.0
12,FBti0020011,54.34656,,0.0
12,FBti0061827,53.59502,,0.0
12,FBgn0266411,51.25346,,0.0
12,FBgn0261016,50.99805,,0.0
12,FBgn0001168,50.660583,,0.0
12,FBgn0013685,50.186573,,0.0
12,FBgn0014388,49.793083,,0.0
12,FBgn0013679,48.91014,,0.0
12,FBgn0262952,48.616055,,0.0
13,FBgn0267515,51.646988,,0.0
13,FBti0019150,48.915443,,0.0
13,FBgn0033926,47.98734,,0.0
13,FBgn0029766,47.70624,,0.0
13,FBgn0267507,47.19804,,0.0
13,FBgn0266411,44.66079,,0.0
13,FBti0019599,43.773594,,0.0
13,FBti0020011,42.272377,,0.0
13,FBgn0284408,41.443428,,0.0
13,FBgn0262945,39.99473,,0.0
13,FBgn0267505,39.841522,,0.0
13,FBgn0053494,38.684116,,0.0
13,FBti0061827,38.61895,,0.0
13,FBgn0265487,37.54316,,2.2289911987791185e-306
13,FBgn0259745,35.99992,,8.981514345373786e-282
13,FBgn0001168,35.66317,,1.40152941523863e-276
13,FBti0019213,35.46015,,1.8240523336062338e-273
13,FBgn0030160,35.15935,,7.164359633313009e-269
13,FBgn0265297,34.976345,,4.2016957552667605e-266
13,FBgn0261113,34.784016,,3.304314057400793e-263
14,FBgn0013672,48.18636,,0.0
14,FBgn0013676,48.091125,,0.0
14,FBgn0013674,47.897408,,0.0
14,FBgn0013675,47.814083,,0.0
14,FBgn0013678,47.693775,,0.0
14,FBgn0013686,47.470356,,0.0
14,FBgn0267910,46.358467,,0.0
14,FBgn0262952,46.30768,,0.0
14,FBgn0013684,44.10177,,0.0
14,FBgn0013688,41.971573,,0.0
14,FBgn0265297,41.140915,,0.0
14,FBgn0013681,40.67825,,0.0
14,FBgn0013680,39.708103,,0.0
14,FBgn0013679,38.55127,,0.0
14,FBgn0013685,36.212,,4.500362426727402e-285
14,FBgn0013673,30.390444,,7.865411892882082e-201
14,FBgn0017581,28.38581,,2.592435352246825e-175
14,FBgn0085359,27.667881,,1.3242893604470863e-166
14,FBgn0033926,26.037537,,1.2759596353052766e-147
14,FBgn0031971,25.013592,,2.7595162765445424e-136
