stage_A,stage_B,median_titer_A,median_titer_B,z_stat,p_raw,log10_p_raw,n_A,n_B,p_adj_BH,log10_p_adj,significant
g0/g1,s,0.17028986,0.12962963,48.64948430614108,0.0,-515.7234014377951,13897,21382,3.337610787760802e-308,-307.4765643095331,True
s,g2/m,0.12962963,0.17073171,-42.51321866266891,0.0,-394.193049466432,21382,9573,3.337610787760802e-308,-307.4765643095331,True
g0/g1,g2/m,0.17028986,0.17073171,0.5485333907393748,0.5833257083011828,-0.23408888294370622,13897,9573,0.5833257083011829,-0.2340888829437062,False
