,g0/g1,s,g2/m
Uninfected,32.399390732724065,50.485008818342145,17.115600448933783
Q1,12.814238042269189,75.58398220244716,11.60177975528365
Q2,26.454615981380915,53.60744763382467,19.937936384794412
Q3,39.276485788113696,38.53499606785755,22.18851814402876
Q4,43.9279359430605,29.715302491103202,26.3567615658363
Q5,32.550860719874805,40.778001341381625,26.671137938743573
