_pt_bin,n_cells,median,mean,q25,q75,bin_center
-2.31,20492,0.16788322,0.16161126,0.1304347813129425,0.20512820780277252,-1.8263578116893768
-0.38,30392,0.13414635,0.11133878,0.0,0.18260245770215988,0.09874072670936584
0.58,61093,0.0,0.0668646,0.0,0.12621359527111053,1.0612899959087372
